,t,fg
0,0,inf
1,1,163.01276083913558
2,2,157.10413770330663
3,3,148.52677911071402
4,4,141.73095362502764
5,5,132.5159760693633
6,6,127.99613777309735
7,7,120.47231265148582
8,8,117.01976493353446
9,9,111.08987042514119
10,10,99.23021154619897
11,11,98.61553245868058
12,12,90.23536978008316
13,13,83.19299295120051
14,14,74.15837931548293
15,15,73.3449578335092
16,16,67.4676902058538
17,17,63.470024718104085
18,18,55.809054686575195
19,19,51.95948240835107
20,20,49.31542410182267
21,21,46.57885689847237
22,22,41.58920137765263
23,23,40.30673080785629
24,24,37.88213884711473
25,25,33.312852717179936
26,26,31.489950516759098
27,27,29.790949023888437
28,28,27.58515996473627
29,29,24.95215055969948
30,30,24.817503338853665
31,31,21.866575776425858
32,32,20.483503888875706
33,33,19.50260664239583
34,34,18.01911607282492
35,35,17.366953302160493
36,36,15.099798857112779
37,37,13.94386884397476
38,38,13.292966585255442
39,39,12.29983661964783
40,40,11.310326995778757
41,41,10.454390164451324
42,42,10.3958038680757
43,43,8.814668727291412
44,44,8.900947742854918
45,45,8.068358125801595
46,46,7.663744243354047
47,47,6.789835053504033
48,48,6.36765334823904
49,49,6.056178999660687
50,50,5.564714345102431
51,51,5.323303392473178
52,52,4.894165621315674
53,53,4.562894137824427
54,54,4.268542725435683
55,55,4.119681824300639
56,56,3.7342989593355984
57,57,3.6111211031737445
58,58,3.328938164600783
59,59,3.199479238062537
60,60,2.8651980791173997
61,61,2.5576434911417976
62,62,2.6368802346695923
63,63,2.5131953449170923
64,64,2.2262373805889264
65,65,2.1286747171706364
66,66,1.9622234285668805
67,67,1.7992900904945355
68,68,1.706573103937768
69,69,1.6640946510848575
70,70,1.567232325556209
71,71,1.4430170885646647
72,72,1.3225539059608102
73,73,1.2933987759975136
74,74,1.1833100898900755
75,75,1.1363439140411693
76,76,1.0917823747757205
77,77,1.043985704112523
78,78,0.9817949614022274
79,79,0.9116336246060025
80,80,0.8445482639455405
81,81,0.8257845741703863
82,82,0.7826596582599086
83,83,0.7342709761191246
84,84,0.6884416096998904
85,85,0.6568975294603322
86,86,0.5976702379833673
87,87,0.5919836777763092
88,88,0.5495955879838398
89,89,0.5286253023671721
90,90,0.5006227097991237
91,91,0.4714112545254322
92,92,0.43860618576472477
93,93,0.42817731644091034
94,94,0.40147964003225617
95,95,0.3770559764087951
96,96,0.36537862582712777
97,97,0.3294191255911771
98,98,0.31990287026496694
99,99,0.30037389568890427
100,100,0.2826171575650487
101,101,0.26604556996117557
102,102,0.25282686434438506
103,103,0.24785466193092145
104,104,0.23884915456583286
