,t,fg
0,0,inf
1,1,45.82975948483367
2,2,35.79685756661519
3,3,31.64176815365659
4,4,28.865943900701378
5,5,27.594470342856848
6,6,26.24042454592765
7,7,25.5436932149055
8,8,24.381537577957957
9,9,23.814151759020678
10,10,22.738153107525864
11,11,22.19821687486377
12,12,21.81986232332474
13,13,21.219927923792742
14,14,20.342506220428113
15,15,19.966042339723668
16,16,18.93074717967323
17,17,18.663293857352144
18,18,18.43125352714332
19,19,17.75334525218713
20,20,17.588008697999122
21,21,17.202666382446502
22,22,16.942402796502062
23,23,16.648421450498514
24,24,16.588122394207875
25,25,16.25942480920762
26,26,16.02807781564854
27,27,15.746372207727296
28,28,15.428487317718455
29,29,15.341209277786596
30,30,15.02663194799288
31,31,14.720329673307536
32,32,14.502854801546716
33,33,14.166641187790391
34,34,13.925689123242291
35,35,13.690361225000606
36,36,13.462093710225847
37,37,12.966778686163984
38,38,12.629461991506517
39,39,12.344052793236017
40,40,12.079926661866663
41,41,11.921920260559206
42,42,11.819150564736054
43,43,11.500012751034415
44,44,11.383391763216924
45,45,11.15997699206715
46,46,10.940603644302906
47,47,10.701073252531925
48,48,10.496916495457997
49,49,10.421520487233714
50,50,10.407457627860765
51,51,10.276116447102986
52,52,10.14743630824191
53,53,10.015975321029028
54,54,9.881012253217769
55,55,9.761947760269713
56,56,9.665543952576801
57,57,9.488252363406284
58,58,9.412252447264885
59,59,9.306323027010379
60,60,9.106343586068414
61,61,9.018878165848038
62,62,8.909197903925918
63,63,8.81930793866207
64,64,8.69411413633311
65,65,8.604346774519222
66,66,8.50740640811727
67,67,8.457256755112347
68,68,8.33889793720463
69,69,8.245069146274249
70,70,8.159226160533366
71,71,8.143794145943996
72,72,8.068446237570726
73,73,8.010587637652298
74,74,7.949467676231831
75,75,7.929159987372561
76,76,7.871793812786439
77,77,7.738528321090364
78,78,7.722025452655347
79,79,7.701973383879152
80,80,7.6681238129420395
81,81,7.645102942722863
82,82,7.578316225834602
83,83,7.559242220305231
84,84,7.51841755736427
85,85,7.490750661687588
86,86,7.456900940754008
87,87,7.450470905261514
88,88,7.4145923411663786
89,89,7.364573604882583
90,90,7.308425162908832
91,91,7.2729128846076465
92,92,7.190145491775999
93,93,7.162212133208039
94,94,7.130939450567113
95,95,7.119345451539679
96,96,7.069275709646356
97,97,7.034232082983506
98,98,6.9949469853744795
99,99,6.97549765922227
100,100,6.94881091219902
101,101,6.93333655512356
102,102,6.909186181276036
103,103,6.879631571823515
104,104,6.853885772230999
105,105,6.815012386360587
106,106,6.789759612633346
107,107,6.748709368382116
108,108,6.698793433155066
109,109,6.67463761397115
110,110,6.628958772872574
111,111,6.582046409657079
112,112,6.568887789934134
113,113,6.557638255797423
114,114,6.532407622033322
115,115,6.488890962224926
116,116,6.4681138766920085
117,117,6.4543760137790995
118,118,6.44328357297758
119,119,6.4343231096868045
120,120,6.41317236644333
121,121,6.408638396915912
122,122,6.392832687214119
123,123,6.37778933390105
124,124,6.358910847471812
125,125,6.354733782275255
126,126,6.333161258758312
127,127,6.313419055110236
128,128,6.303529924809852
129,129,6.2937003414609025
130,130,6.288618836628846
131,131,6.283216713520928
132,132,6.277029810288739
133,133,6.273690799659712
134,134,6.267336995957656
135,135,6.260483552170014
136,136,6.249449728548246
137,137,6.238819172764445
138,138,6.232402035080536
139,139,6.22533360314673
140,140,6.217877867595538
141,141,6.214269950432271
142,142,6.195329874766445
143,143,6.190029766445065
144,144,6.184270210564035
145,145,6.167398703874604
