,t,fg
0,0,inf
1,1,101.09088619640163
2,2,47.720304780041204
3,3,37.9713207899305
4,4,31.754541850577098
5,5,26.56232716521025
6,6,23.57542677313618
7,7,21.817510813742597
8,8,20.903687789057443
9,9,19.782544470040857
10,10,18.74331355271011
11,11,17.935139671865926
12,12,17.162872072072034
13,13,16.529392284123826
14,14,16.056425170282793
15,15,15.661981348301934
16,16,15.203745799907761
17,17,14.723117970530724
18,18,14.312695339023449
19,19,13.856155129423446
20,20,13.46961510586788
21,21,13.244795781235675
22,22,13.052618611145776
23,23,12.749947760327759
24,24,12.530028509970847
25,25,12.281097645252173
26,26,12.11774741012204
27,27,11.943583300580995
28,28,11.580088404823437
29,29,11.423587439795599
30,30,11.275995406838385
31,31,11.10644117055656
32,32,10.916929158336377
33,33,10.730846675601054
34,34,10.615990495114854
35,35,10.46014909892599
36,36,10.297836701940525
37,37,10.196173185089744
38,38,10.052269846574385
39,39,9.835851431456106
40,40,9.706084302639516
41,41,9.560008224023278
42,42,9.473301099537354
43,43,9.32414653775039
44,44,9.243515174898993
45,45,9.158401413422112
46,46,9.080488682734327
47,47,8.992707951346102
48,48,8.896310345513548
49,49,8.831840611700985
50,50,8.778744825509076
51,51,8.698640343983437
52,52,8.625450763435438
53,53,8.542260900871247
54,54,8.44832454584003
55,55,8.357142755218607
56,56,8.258456575935009
57,57,8.19928543158638
58,58,8.160208722480998
59,59,8.102469554377361
60,60,8.030981024880774
61,61,7.982351666020236
62,62,7.942396396284551
63,63,7.900719304208338
64,64,7.85640950804507
65,65,7.796248056025913
66,66,7.75818613267897
67,67,7.713984957032942
68,68,7.6693548100004065
69,69,7.636654641233373
70,70,7.582821904101407
71,71,7.542262487230793
72,72,7.495104369773838
73,73,7.450602222663431
74,74,7.421111688371562
75,75,7.398256705597576
76,76,7.371335797721798
77,77,7.339700778060663
78,78,7.295821411822891
79,79,7.229594684759447
80,80,7.17671122282461
81,81,7.145677387963912
82,82,7.114796355744666
83,83,7.088047921182067
84,84,7.074050012918978
85,85,7.0464789865671955
86,86,7.019613835264155
87,87,6.990904760121254
88,88,6.964509484902285
89,89,6.951060175617308
90,90,6.932994795384631
91,91,6.907843217419413
92,92,6.873311206408273
93,93,6.854281194766127
94,94,6.839087237975078
95,95,6.816799064490707
96,96,6.798831297224012
97,97,6.758540960306078
98,98,6.733431620579268
99,99,6.708828493386842
100,100,6.695788046077947
101,101,6.673256822680651
102,102,6.662982052038603
103,103,6.636026425925456
104,104,6.6198463066662825
105,105,6.606466810950336
106,106,6.593807037734289
107,107,6.5827900923549665
108,108,6.56850416683717
109,109,6.552490189360989
110,110,6.535304342083354
111,111,6.5202199856354115
112,112,6.499074890554279
113,113,6.4856324157894525
114,114,6.472422582532524
115,115,6.456683408912005
116,116,6.4416733928487
117,117,6.428908093805266
118,118,6.4179032826982905
119,119,6.398119576339387
120,120,6.386352202594907
121,121,6.368567669333387
122,122,6.3594048040631925
123,123,6.346322602888883
124,124,6.341042430844507
125,125,6.333214034669433
126,126,6.32388702489907
127,127,6.316734339726094
128,128,6.309638970466091
129,129,6.302190864211106
130,130,6.293386044726601
131,131,6.285806365862466
132,132,6.28063876426032
133,133,6.277124514907209
134,134,6.269314986177417
135,135,6.2611930370332285
136,136,6.251937187833444
137,137,6.246081709228961
